Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Education,Accountability,Teachers accountable for all students and rewarded for quality teaching,Next Steps Coalition -- Group A,04/15/2010 07:00:00 AM +0000
Education,Accountability,Teachers and School Accountability (counselors are putting students down). There needs to be more professional trainings that include cultural sensitivity and better the Bilingual Education Program with better transitioning for that program.,,02/22/2010 08:00:00 AM +0000
Education,Accountability,We need strong leadership and accountability to change the system.,5,02/22/2010 08:00:00 AM +0000
Education ,Achievement Gap,Achievement gap,3,03/22/2010 07:00:00 AM +0000
Education,Achievement Gap,Education gap between low and high income neighborhoods needs to be leveled.,9,02/22/2010 08:00:00 AM +0000
Education ,Achievement Gap,"Educational Disparities: achievement gap, special education, tracking juvenile justice",2,03/22/2010 07:00:00 AM +0000
Education ,Achievement Gap,Lack of committed resources to close the academic gap,19,03/22/2010 07:00:00 AM +0000
Education,Achievement Gap,Middle class concerned about the Achievement Gap widening.,African American Community/Parent Coalition,04/12/2010 07:00:00 AM +0000
Education,Achievement Gap,The State doesn't address the Achievement Gap.,African American Community/Parent Coalition,04/12/2010 07:00:00 AM +0000
Education,Attendance Policy,Attendance Rules,10,04/08/2010 07:00:00 AM +0000
Education,Basics,Going back to the basics.,15,03/01/2010 08:00:00 AM +0000
Education ,Basics,More emphasis on reading,2,03/22/2010 07:00:00 AM +0000
Education,Bilingual Education,Bilingual education,4,03/01/2010 08:00:00 AM +0000
Education,Bilingual Education,"Bilingual staff, messengers.",Somali community,04/07/2010 07:00:00 AM +0000
Education,Bilingual Education,More bilingual classes:  - Make it an extra-curricular. - Make it a requirement for graduation. - Incorporate bi-lingual into courses. - taught in a different language. ,1,04/08/2010 07:00:00 AM +0000
Education,Bilingual Education,More Bilingual Transitional schools ( More SBOCs).,Somali community,03/24/2010 07:00:00 AM +0000
Education,Bilingual Education,No Bilingual in some of the schools.,Tigrinya-speaking community,04/29/2010 07:00:00 AM +0000
Education,Bilingual Education,The education system does not provide enough culturally related language lessons and culturally related activities.,Chinese community,04/07/2010 07:00:00 AM +0000
Education,Bilingual Education,There is uneven implementation of effective bilingual education.,SEEC Assessment Group,03/10/2010 08:00:00 AM +0000
Education,Community Involvement,Resources for education: community should get more involved; donations.,13,03/08/2010 08:00:00 AM +0000
Education,Bullying,"Bullying in schools.  No tolerance- goes too far. We need to teach better behavior, not focusing on punishment.",People of Color Against AIDS Network,05/13/2010 07:00:00 AM +0000
Education,Bullying,Safety in schools - bullying/harassment to LGBT kids to drop out - need supportive spaces - Have strong policy and enforce it - as it affects all,Seattle LGBT Commission,05/04/2010 07:00:00 AM +0000
Education,Class Size,2. Class sizes too large in K-12,Young Democrats Group B,04/20/2010 07:00:00 AM +0000
Education,Class Size,"Class size is an issue; teachers who are good can’t be good, because class sizes are too large.",WE-ACT Affinity Group,03/09/2010 08:00:00 AM +0000
Education,Class Size,Making classes smaller in school:  - Give more money to schools/hire more teachers to make school sizes smaller. - Expand school system. - Stop spending on sports and athletes and more on academics. - Divide teachers up more to spread them over the classrooms. ,1,04/08/2010 07:00:00 AM +0000
Education,Class Size,Reduce class size - 12 per room.,3,03/01/2010 08:00:00 AM +0000
Education,Class Size,Reduced Class Sizes,8,03/01/2010 08:00:00 AM +0000
Education,Class Size,Smaller class sizes.,15,03/01/2010 08:00:00 AM +0000
Education,Class Size,Smaller Classroom size,1,03/15/2010 07:00:00 AM +0000
Education,Class Size,Teacher/student ratio too big,17,03/08/2010 08:00:00 AM +0000
Education ,Class Size,"We need smaller class size and greater parent participation in education, which could be increased if we had community advocates.",6,03/22/2010 07:00:00 AM +0000
Education,Collaboration,"1. Rigorous education, community engagement",Web,
Education,Collaboration,Children need to be school ready.  That may mean more support from OTHER agencies for the families.  It is not acceptable to put the burden on our school system.  It is a big enough job to educate our children.,Web,
Education,Collaboration,Education “Basic Education”:   1) Clarify duties between the school district/ individual schools 2) identify (present) long-term plan 3) How does the city interface with school district? 4) Adopting Best Practices 5) Raising Awareness of Education- Programs 6) City government collaborates with school district to combine resources to better meet the needs of families and youth. 7) Principal Assessment/Accountability 8) “Community Schools” as a model,10,03/01/2010 08:00:00 AM +0000
Education,Collaboration,If the city has resources to help the school district make sure it uses them as an actively listening PARTNER. ,Web,
Education,Collaboration,Increase connectivity between city and school district,16,03/01/2010 08:00:00 AM +0000
Education,Collaboration,"Instead of distributed responsibility and resources, the current gatekeeper system centralizes this process, limiting access, and making the process inequitable; resource ""silos"" i.e. medical resources or plans, library services county versus city versus schools, leaders not modeling collaboration",Seattle Public Schools,04/13/2010 07:00:00 AM +0000
Education,Collaboration,Lack of accountability from the school to the community/ school to the students.,Seattle Alliance of Black School Educators,05/01/2010 07:00:00 AM +0000
Education,Collaboration,"Lack of interconnectivity in education, public safety, commerce results in working at cross purposes",Emerald City Bible Fellowship,05/01/2010 07:00:00 AM +0000
Education,Collaboration,"With respect to schools, I believe the way the City can support SPS, is by continuing funding  of pre-k education.  ",Web,
Education,College Preparation,Access to college for kids. Education – kids need access to educational tools such as computers. Help for non-English-speaking parents to help their kids.,15,02/22/2010 08:00:00 AM +0000
Education,College Preparation,College preparation,Franklin High School,03/23/2010 07:00:00 AM +0000
Education,College Preparation,Not enough focus on SAT/ACT/too much on WASL,4,02/22/2010 08:00:00 AM +0000
Education,Communication,"2.  Predictability and communication-- this is my first year of experience with the SPS and I find that decisions are made, seemingly with little respect for parents and families (9:20 AM start time for elementary schools, really?).  Now that the plan is in place, however, let's stop changing things all the time and let things work...",Web,
Education,Communication,Better communication among school staff/parents/ students,4,03/15/2010 07:00:00 AM +0000
Education,Communication,better communication between schools and family,A+ Group B,05/06/2010 07:00:00 AM +0000
Education,Communication,Lack of communication between parents and schools and district,Somali community,04/22/2010 07:00:00 AM +0000
Education,Community Access,School as the community center.,8,03/08/2010 08:00:00 AM +0000
Education,Community Access,School facilities should be open in off-school hours.,10,03/08/2010 08:00:00 AM +0000
Education,Community Access,Schools as community centers (more partnerships with CBOs),1,03/08/2010 08:00:00 AM +0000
Education,Community Involvement,Better integration between community & school,3,03/15/2010 07:00:00 AM +0000
Education,Community Involvement,Bridging relationships to families/schools and community organization,16,03/15/2010 07:00:00 AM +0000
Education,Community Involvement,"Lack of coordination between schools, communities and parents",10,03/15/2010 07:00:00 AM +0000
Education,Community Involvement,"Lack of coordination with schools, agencies, etc. Schools are not seen as an integrated part of a community or community resource",School Age Implementation Team,
Education,Community Involvement,"More classroom support: Seeing a structure in place that ties in parents, community, seniors and the unemployed.",8,03/08/2010 08:00:00 AM +0000
Education,Community Involvement,More Community liaison.,Somali community,04/07/2010 07:00:00 AM +0000
Education,Community Involvement,Partner with schools- (Community neighborhoods& organizations),3,03/15/2010 07:00:00 AM +0000
Education,Enrichment,Not enough extra-curricular activities for kids of all ages.,9,03/08/2010 08:00:00 AM +0000
Education,Counseling,Career counselor needed; none in schools now; need to hire them; contract out if needed; transition plan starting in 9th grade; easier if counselor is in the school,3,03/08/2010 08:00:00 AM +0000
Education,Counseling,"Counseling for post H.S. education, mental health access to counseling",16,03/15/2010 07:00:00 AM +0000
Education,Counseling,Having fully-funded counselors at all schools.,8,03/08/2010 08:00:00 AM +0000
Education,Counseling,Lack of effective educational guidance @ the high school level.,Black Child Development Institute,04/17/2010 07:00:00 AM +0000
Education,Counseling,More career guidance & exposure,West Seattle High School,03/23/2010 07:00:00 AM +0000
Education ,Counseling,More school counselors (Restore funding),1,03/22/2010 07:00:00 AM +0000
Education,Counseling,Not cutting school psychologist and other staff,Latino community,04/22/2010 07:00:00 AM +0000
Education,Counseling,Not enough counselors in schools,Youth Ambassadors,03/21/2010 07:00:00 AM +0000
Education ,Counseling,Not enough counselors/cutting counselors,11,03/22/2010 07:00:00 AM +0000
Education,Cultural Competency,"acknowledging everyone's histories in school curriculum, not just white people",Youth Undoing Institutional Racism Group B,04/13/2010 07:00:00 AM +0000
Education,Cultural Competency,anti-racism and anti-oppression training for teachers and school staff,Youth Undoing Institutional Racism Group B,04/13/2010 07:00:00 AM +0000
Education,Cultural Competency,Cultural competency training,Next Steps Coalition -- Group A,04/15/2010 07:00:00 AM +0000
Education,Cultural Competency,"Education system, including tutoring curriculum overhaul and new approach to teaching. Culturally insensitive teachers.",17,04/08/2010 07:00:00 AM +0000
Education,Cultural Competency,"Education, teaching of Somali: culture/language.",6,03/15/2010 07:00:00 AM +0000
Education ,Cultural Competency,Need for culturally relevant training for teachers. Need for cultural bridges,5,03/22/2010 07:00:00 AM +0000
Education,Cultural Competency,Not enough black history taught in schools: - Make it classes.  - Make it an after-school class/program. - Incorporate into history classes.,1,04/08/2010 07:00:00 AM +0000
Education ,Cultural Competency,Racism: There's a biased system with biased teachers,13,03/22/2010 07:00:00 AM +0000
Education ,Cultural Competency,Schools are not culturally competent,11,03/22/2010 07:00:00 AM +0000
Education,Early Learning,Childcare:  Quality/Accountability 2) Affordable to all 3) Year Round (summer program) 4) Parent Education 5) Early education (access) for all. 6) Provide Pre-school at K-8 schools,10,03/01/2010 08:00:00 AM +0000
Education,Cultural Competency,"Seattle Public Schools- Increase accountability for Native American students including acknowledgement of NA history, addition of NA curriculum, tribal memorial, etc",United Indians Organization Group A,04/30/2010 07:00:00 AM +0000
Education,Cultural Competency,"Seattle Public Schools- Increase accountability for Native American students including acknowledgement of NA history, addition of NA curriculum, tribal memorial, etc",United Indians Organization Group B,04/30/2010 07:00:00 AM +0000
Education,Cultural Competency,"Teachers that reflect cultural diversity, better pay, bonus using relative materials to teach.",4,02/22/2010 08:00:00 AM +0000
Education,Cultural Competency,There is a big conflict between the value of traditional Chinese family education and the education at school. It affects the youth's self-identity.,Chinese community,04/07/2010 07:00:00 AM +0000
Education,Cultural Competency,There is a lack of curriculum that fosters culturally responsive social skills and collaboration from preschool – higher education.,WE-ACT Affinity Group,03/09/2010 08:00:00 AM +0000
Education,Curriculum,(tie) Driver's education as elective & home economics & life skills,West Seattle High School,03/23/2010 07:00:00 AM +0000
Education,Curriculum,"bottom up, top down approach to curriculum development. Students should have more choice in deciding their track in school",Youth Care Group B,04/20/2010 07:00:00 AM +0000
Education,Curriculum,Curriculum and definition of student success has become too narrow,Seattle Art Museum-- Group B,04/29/2010 07:00:00 AM +0000
Education,Curriculum,Financial literacy programs needed in the high schools,12,03/08/2010 08:00:00 AM +0000
Education,Curriculum,Focus on social skills/personal development in school; less emphasis on tests; school should be fun.,18,03/01/2010 08:00:00 AM +0000
Education,Curriculum,"Need a higher standard for class curriculum, one that emphasizes STEM, languages, and multi-discipline subjects in elementary and middle school",Seattle Central Community College,05/06/2010 07:00:00 AM +0000
Education,Curriculum,"Need a more inclusive definition of what a ""family"" is, update textbook and curriculum to be more inclusive of sexuality- not just heterosexuality and against heterosexism",Seattle LGBT Commission,05/04/2010 07:00:00 AM +0000
Education,Curriculum,Relevant curriculum including real history,Next Steps Coalition -- Group A,04/15/2010 07:00:00 AM +0000
Education,Differentiation,The school district practice of assigning the youth based on age instead of academic level.,Amharic-speaking community,04/10/2010 07:00:00 AM +0000
Education ,Differentiation,Training for different learning styles,15,03/22/2010 07:00:00 AM +0000
Education,Discipline,Follow-up on discipline issues in schools.,El Centro de la Raza-- Jose Marti CDC,04/15/2010 07:00:00 AM +0000
Education,Discipline,Review of the schools discipline system,11,03/15/2010 07:00:00 AM +0000
Education,Early Learning, Childcare is expensive and hard to find- not enough money/funding,8,03/15/2010 07:00:00 AM +0000
Education,Early Learning, ECE teacher pay not equitable with e.g. elementary teachers. This leads to high turnover rates and thus poor outcomes for young children.,Early Childhood Education Instructors,03/12/2010 08:00:00 AM +0000
Education,Enrichment,need for additional financial resources at Concord Elementary School for the Arts and Music Programs,Latino community,04/22/2010 07:00:00 AM +0000
Education,Early Learning,"Cost! Especially for before/after school care, ""Pay for K"", etc. I'm very concerned that Seattle Public Schools won't have what my daughter needs to excel and prepare for college.",Web,
Education,Early Learning,Pre-K school / Head-start programs for qualifying families,Web,
Education,Early Learning,1. Lack of investment in early learning for age birth – 3rd grade.,Partnership Council,04/06/2010 07:00:00 AM +0000
Education,Early Learning,"2) My biggest challenge once I have children will be to find affordable, quality child care.  I am very typical in that I must return to work after having children, but the cost of childcare is staggering.  ",Web,
Education,Early Learning,2-year waiting list for pre-school at High Point; not allowed to attend anywhere else.,6,03/15/2010 07:00:00 AM +0000
Education,Early Learning,"4.  Families need more quality, affordable pre-school programs for their children.",Young Democrats Group D,05/02/2010 07:00:00 AM +0000
Education,Early Learning,Absence of effective literacy programs in schools especially in early years ,Next Steps Coalition -- Group B,04/15/2010 07:00:00 AM +0000
Education,Early Learning,"Accessible, high-quality childcare; get community volunteers involved; adequate funding, facilities and sponsors.",18,03/01/2010 08:00:00 AM +0000
Education,Early Learning,Address children's social/educational issues earlier,2,03/22/2010 07:00:00 AM +0000
Education,Early Learning,Affordable Early Learning Programs,View Ridge Community Council Group B,04/20/2010 07:00:00 AM +0000
Education,Early Learning,African American boys are failing before pre-k and kindergarten.,SEEC Directors,03/18/2010 07:00:00 AM +0000
Education,Early Learning,Close the gap on youth entering kindergarten. Focus on early childhood education.,16,03/08/2010 08:00:00 AM +0000
Education,Early Learning,Continued support for Child Care subsidies.,SEEC Directors,03/18/2010 07:00:00 AM +0000
Education,Early Learning,Early childhood education for bilingual children.,Somali community,04/16/2010 07:00:00 AM +0000
Education,Early Learning,Early education/social emotional learning in schools.,13,03/01/2010 08:00:00 AM +0000
Education,Early Learning,Early learning for everyone and the funding to support it,Denise Louie Group B,04/30/2010 07:00:00 AM +0000
Education,Early Learning,Early learning programs.,Somali community,04/07/2010 07:00:00 AM +0000
Education,Early Learning,Early learning skills,16,03/15/2010 07:00:00 AM +0000
Education,Early Learning,Educate everyone on the importance of early learning and the role it plays in a students life,Denise Louie Group B,04/30/2010 07:00:00 AM +0000
Education,Early Learning,Educate parents on their responsibilities; need to help parents do early childhood education.,6,02/22/2010 08:00:00 AM +0000
Education,Early Learning,Education system: We need early learning programs. We also need to allow out kids to be kids,13,03/22/2010 07:00:00 AM +0000
Education,Early Learning,Every child reading by grade 3,Next Steps Coalition -- Group A,04/15/2010 07:00:00 AM +0000
Education,Early Learning,Expensive child care,20,04/08/2010 07:00:00 AM +0000
Education,Early Learning,Failure to invest in the professional development of early childhood educators.,SEEC Assessment Group,03/10/2010 08:00:00 AM +0000
Education,Early Learning,Free high quality preschool,10,03/15/2010 07:00:00 AM +0000
Education,Early Learning,Funding for Early Learning,4,03/15/2010 07:00:00 AM +0000
Education,Early Learning,Funding for early learning so that the children are ready in Kindergarten,Somali community,03/24/2010 07:00:00 AM +0000
Education,Early Learning,"I would like to see more funding for education and learning equipment for children ages birth to 5.  I work for a local non-profit and find that there are too few grant opportunities for these type of programs as they are not for school age programs.  We are missing the gap in providing enriching experience opportunities for children at their most important stage of learning, birth to 5.
With the economy still struggling, it is difficult for families to afford what they would consider ""extras"" for to enrich their young child's life such as low cost of free art, sensory, physical education, music, dance, socialization, etc.",Web,
Education,Early Learning,Increase investment in community based early learning and child development programs.,Belltown Community Group B,04/28/2010 07:00:00 AM +0000
Education,Early Learning,Increased salaries for preschool teachers and other preschool professional - does not match up to K and up but is just as important,United Indians Organization Group A,04/30/2010 07:00:00 AM +0000
Education,Early Learning,Increased salaries for preschool teachers and other preschool professional - does not match up to K and up but is just as important,United Indians Organization Group B,04/30/2010 07:00:00 AM +0000
Education,Early Learning,Kids ready for kindergarten - early childhood education.,3,03/01/2010 08:00:00 AM +0000
Education,Early Learning,Lack of 0-3 resources; lack of parenting skills (all ages); ID health and development issues,17,03/08/2010 08:00:00 AM +0000
Education,Early Learning,Lack of pervasive understanding of critical importance of early development (birth-5),Early Childhood Education Group,04/07/2010 07:00:00 AM +0000
Education,Early Learning,Lack of quality early education,9,03/15/2010 07:00:00 AM +0000
Education,Early Learning,Lack of quality pre-k childcare,View Ridge Community Council Group A,04/20/2010 07:00:00 AM +0000
Education,Early Learning,Lack of resources for education of parents in early years ,Next Steps Coalition -- Group B,04/15/2010 07:00:00 AM +0000
Education,Early Learning,Lack of resources in early learning programs that lead to early intervention,SEEC Directors,03/18/2010 07:00:00 AM +0000
Education,Early Learning,Lack of resources/equity in distribution of funds to early learning programs,Early Childhood Education Group,04/07/2010 07:00:00 AM +0000
Education,Early Learning,"More access to quality childcare, especially affordable childcare.  Universal preschool.  We need to begin working with students at a younger age to help prevent the huge gaps in achievement that we end up with in high school.  It takes a 16 year old so much longer to ""catch up"" than a 4 year old!  Just take a look at what Geoffrey Canada is doing in Harlem!",Web,
Education,Early Learning,More children need access to pre-k opportunities. ,Web,
Education,Early Learning,Need for quality Head Start preschool programs accessible to all children,Latino community,04/20/2010 07:00:00 AM +0000
Education,Early Learning,Need quality early childhood education for every child,5,02/22/2010 08:00:00 AM +0000
Education,Early Learning,"Not every child has an opportunity for early learning, which begins at birth.",5,03/08/2010 08:00:00 AM +0000
Education,Early Learning,"Opportunity for success which includes family stability and support, early learning, a focus on the abilities that every child has and schools that nurture, challenge and guide our youth in the right direction.",Web,
Education,Early Learning,"Parents cannot find quality, accessible, affordable and culturally relevant child care, linguistically.",Early Childhood Education Instructors,03/12/2010 08:00:00 AM +0000
Education,Early Learning,"People (govt,/society) do not value ECE as an important developmental stage that lays the groundwork for every other stage.",Early Childhood Education Instructors,03/12/2010 08:00:00 AM +0000
Education,Early Learning,Quality and affordable childcare before and after school/ Community centers for families ,Spanish speaking community,04/22/2010 07:00:00 AM +0000
Education,Early Learning,Start education earlier (3 or 4),Horizon House,04/12/2010 07:00:00 AM +0000
Education,Early Learning,Support in early learning community through middle and high school so no one falls through the cracks,Denise Louie Group B,04/30/2010 07:00:00 AM +0000
Education,Early Learning,The focus on Early learning to too narrow at 3-4 years. Birth-3 years needs to be included.,Child Care Resources,04/08/2010 07:00:00 AM +0000
Education,Early Learning,There is a lack of investment in Birth-8 Years -- time of critical brain development.,SEEC Assessment Group,03/10/2010 08:00:00 AM +0000
Education,Early Learning,"Universal pre-k, more funding for these programs",Denise Louie Group A,04/30/2010 07:00:00 AM +0000
Education,Early Learning,We need better access to early learning programs.,6,03/22/2010 07:00:00 AM +0000
Education,Early Learning,Weak/fragmented Pre-K,"Northwest community, group A",05/03/2010 07:00:00 AM +0000
Education,Education Generally,"academic success/emotional support/family support/quality schools/family issues of poverty, abuse, lack of education interfere with a students performance in school..students challenged to just be in school and some are despite home situations. Students need staff and educators who care and treat the whole child.",Web,
Education,Education Generally,Education,4,04/08/2010 07:00:00 AM +0000
Education,Education Generally,Education,Latino community,04/13/2010 07:00:00 AM +0000
Education,Education Generally,Education,Latino community,04/15/2010 07:00:00 AM +0000
Education,Education Generally,Education,SE Senior Center,04/06/2010 07:00:00 AM +0000
Education,Education Generally,Education,UW Transfer Students,
Education,Education Generally,Education & Language,,02/22/2010 08:00:00 AM +0000
Education,Education Generally,Space for kids and schools,Belltown Community Group D,04/28/2010 07:00:00 AM +0000
Education,Engagement,Current curriculum not engaging,9,02/22/2010 08:00:00 AM +0000
Education,Engagement,Engaging students with more school activities.,14,03/01/2010 08:00:00 AM +0000
Education,Engagement,More relevant youth programs: Upward Bound program; culturally relevant; student-selected; career day; have programs inside the school after school; more communication and outreach to students about programs.,3,03/08/2010 08:00:00 AM +0000
Education,Engagement,School isn't engaging,14,04/08/2010 07:00:00 AM +0000
Education ,English Language Learners,ESL,5,03/22/2010 07:00:00 AM +0000
Education,English Language Learners,"Immigrant and refugee children, spending many years in  camps and placed in school based on age, not education; need before- and after-school support / structures that address needs",2,02/22/2010 08:00:00 AM +0000
Education,English Language Learners ,Language barrier affects the academic performance of the new immigrant students.,Chinese community,04/07/2010 07:00:00 AM +0000
Education,English Language Learners ,Language barriers.,Chinese community,04/09/2010 07:00:00 AM +0000
Education,English Language Learners,The academic performance of the new immigrants are affected by the language barriers.,Chinese community,04/09/2010 07:00:00 AM +0000
Education,Enrichment,"1. Arts education plays a vital role in a child's development and it is essential in preparing them for a job market that is increasingly becoming more dependent on creativity and innovation. It greatly concerns me that many of our children are being deprived of an education that includes music, dance, theatre, and visual art. ",Web,
Education,Enrichment,"1. I want more activities offered in our public schools (especially elementary and middle school); like music, drama, art, science, and NO MORE Discovery Math. Also, more bi-lingual immersion schools!",Web,
Education,Enrichment,"2. Our school programming lacks diversity in programming, such as the arts.",Young Democrats Group C,04/18/2010 07:00:00 AM +0000
Education,Enrichment,Limited Arts/Diverse music courses in school,Hope for Youth Group E,05/03/2010 07:00:00 AM +0000
Education,Enrichment,More field trips outside Seattle,16,04/08/2010 07:00:00 AM +0000
Education,Enrichment,more music and media art programs for kids,Ethiopian Youth Media group B,05/03/2010 07:00:00 AM +0000
Education,Enrichment,The role of the arts in learning is misunderstood (and therefore not valued),Seattle Art Museum-- Group B,04/29/2010 07:00:00 AM +0000
Education,Enrichment,There is a lack of enrichment programs for middle schoolers.,5,03/08/2010 08:00:00 AM +0000
Education,Equity,"1.) An equal and legitimate chance to succeed in school, graduate and go on to use their education to further their lives and possible give back.  For students and families, I would like for all to feel a sense of belonging, safety and pride within their communities and throughout Seattle.",Web,
Education,Equity,4) Lower standards of education in South Seattle,Filipino community,04/18/2010 07:00:00 AM +0000
Education,Equity,AP / IB Programs in South End.,,04/08/2010 07:00:00 AM +0000
Education,Equity,"Equal access to “special program” schools (i.e., international schools).",El Centro de la Raza-- Jose Marti CDC,04/15/2010 07:00:00 AM +0000
Education,Equity,"Equal access to resources at schools and at home; equal funding to ALL schools, regardless of location (computers, translation, etc.).",El Centro de la Raza-- Jose Marti CDC,04/15/2010 07:00:00 AM +0000
Education,Equity,"Equitable and quality education for all children, especially the S.E. District",SE parents and community advocates,
Education,Equity,"Equitable distribution of school funding and teachers' salaries statewide -funding should be tied to students needs not just per student, salaries should be tied to the cost of living in a district",Organizing for Seattle,04/17/2010 07:00:00 AM +0000
Education,Equity,Equitable educational opportunities,Web,
Education,Equity,Equity for all schools.,12,03/01/2010 08:00:00 AM +0000
Education,Equity,Every kids is not and does not feel equally served,Seattle Art Museum-- Group A,04/29/2010 07:00:00 AM +0000
Education,Equity,Funding for schools in disenfranchised communities to increase civic engagement in schools,5,04/08/2010 07:00:00 AM +0000
Education,Equity,"I want my son to be able to attend a quality elementary school without a horrible reputation.  We pay so much in taxes, why are we being penalized by having to attend an elementary school that mainly serves ESL, low income students?  It appears the SSD spends the majority of its funds on kids that are either gifted or learning challenged; where does an average child fit in?",Web,
Education ,Equity,Inequality of schools,15,03/22/2010 07:00:00 AM +0000
Education,Equity,"Inequitable distribution, and lack of, supporting resources in schools.",17,03/08/2010 08:00:00 AM +0000
Education,Equity,Inequities in education and lack of cultural competence in education and health,10,03/15/2010 07:00:00 AM +0000
Education,Equity,Inequity in school (assignment planning); lack of diversity in the classroom.,11,03/01/2010 08:00:00 AM +0000
Education ,Equity,Lack of Equity- Resources are not equally distributed,11,03/22/2010 07:00:00 AM +0000
Education,Equity,Lack of resources for under-privileged students and schools,Hidmo Empowerment Project,
Education,Equity,Make all schools excellent,Hamilton Middle School,03/01/2010 08:00:00 AM +0000
Education,Equity,No assurance of quality in all schools; parents have to guess which schools are high quality.,2,03/08/2010 08:00:00 AM +0000
Education,Family Involvement,Parent involvement in children’s education,,02/22/2010 08:00:00 AM +0000
Education,Family Involvement,Parent involvement.,Somali community,04/07/2010 07:00:00 AM +0000
Education,Family Involvement,"Parent/community involvement in schools- enrollment reassigned to schools instead of centrally located, this ensures the motivation of schools to market positives for each school to increase attendance/enrollment.",SE parents and community advocates,
Education,Family Involvement,Parents/communities link to decision making process for the Seattle School Board.,SE parents and community advocates,
Education,Funding/Resources,"Continue to support family support workers & teacher's aides, need to not eliminate this role",14,03/15/2010 07:00:00 AM +0000
Education,Equity,"Public education is not a high priority in Seattle, undermining the appeal of the city and contributing to the citizenry’s general ignorance of what is going on in our schools.  This “ignorance” allows inequities to exist within schools/services that mirror inequities seen in our city’s communities. Too many competing priorities in Seattle; public education is not a high priority; the city has fewer families than many cities Lack of a network of interest groups for students throughout the city; lack of student governance structures/practice; lack of “civics” experience (civil rights, advocacy) Equitable opportunities in schools with a focus on South Seattle; need more community involvement in schools; community identity; district problem: school buildings are not equal; city problem: areas of city are not equal A geographical divide separates schools in the 98118 area code with virtually every other region in Seattle for both Special Education and General Education families.  Only in the Southeast quadrant of the district are more students seeking to depart local schools rather than choosing to stay -- by a huge margin.  The Dunlop, Aki and Rainier Beach pathway really is not equal to the Laurelhurst, Eckstein and Roosevelt pathway. Similarly, private or public nonschool services open to, or specifically for, disabled kids north of the ship canal are vastly superior to points south.  These include summer camps, daycare, respite services, ""sibshops"", Outdoors for All sites, gymnastics, swim lessons, soccer, physicians and therapists, etc. 
",Special Ed PTSA,05/12/2010 07:00:00 AM +0000
Education,Equity,School equity resources that provide equitable life and growth for all children,Emerald City Bible Fellowship,05/01/2010 07:00:00 AM +0000
Education,Equity,"School Inequity:  This includes a variety of problems. PTA funds/parental resources and time, community support, neighborhood support, nonprofit resources, music and arts, equipment like books, desks, etc.",14,03/01/2010 08:00:00 AM +0000
Education,Equity,Unequal access in different schools,Youth Ambassadors,03/21/2010 07:00:00 AM +0000
Education,Equity,Unequal education,14,04/08/2010 07:00:00 AM +0000
Education ,Equity,Universal quality education for all school districts,9,03/22/2010 07:00:00 AM +0000
