EQUIP_ID,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY,VIN,Equipment Type
58275,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,"3,100.00",02/22/2016,MURPHYS AUCTION,2W9MPH5515P044102,SCOOTER
98240,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,"3,000.00",03/07/2018,MURPHYS AUCTION,2W9MPH6159S044103,SCOOTER
31599,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,477.00",12/13/2018,BIDADOO ONLINE AUCTION,2FABP7BV7BX176480,SEDAN - PATROL
87118,2008,JOHN DEERE,1565 MOWER,"MOWER - 72"" ROTARY",SDOT,"7,200.00",08/28/2017,BIDADOO ONLINE AUCTION,TC1565DO70283,MOWER
35344,2000,EMERGENCY ONE,PUMPER,PUMPER - SIDE MOUNTED CONTROLS,SFD,"5,100.00",06/20/2018,BIDADOO ONLINE AUCTION,4ENRAAA88Y1001207,FIRE - PUMPER
35347,2000,EMERGENCY ONE,CYCLONE II,AERIAL - REAR MOUNT,SFD,"7,400.00",10/05/2018,BIDADOO ONLINE AUCTION,4EN3ABA86Y1002495,FIRE - LADDER TRUCK
31601,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,250.00",12/27/2018,MURPHYS AUCTION,2FABP7BV0BX176482,SEDAN - PATROL
58277,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,"1,525.00",04/26/2016,MURPHYS AUCTION,2W9MPH5525P044108,SCOOTER
54544,2005,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,"7,006.00",06/20/2018,BIDADOO ONLINE AUCTION,1GCDT196358256471,TRUCK - LIGHT
G85447,2009,PETERBILT,367,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,"45,000.00",08/22/2019,MURPHYS AUCTION,1XPTDB0X49D785802,TRUCK - HEAVY
06527,2000,KENWORTH,T800,TRUCK - 12 YD DUMP - CLASS 8,SPU,"55,300.00",03/01/2016,BIDADOO ONLINE AUCTION,1NKDLBOXXYR855344,TRUCK - HEAVY
31605,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,580.00",03/06/2019,BIDADOO ONLINE AUCTION,2FABP7BV8BX176486,SEDAN - PATROL
81045,2008,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,SPD,"6,770.00",09/17/2019,BIDADOO ONLINE AUCTION,JTDKB20U387778054,SEDAN - SML - HYBRID
31606,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,250.00",12/27/2018,MURPHYS AUCTION,2FABP7BVXBX176487,SEDAN - PATROL
71651,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,"5,501.02",10/30/2018,MURPHYS AUCTION,JTDKB20U473233373,SEDAN - SML - HYBRID
83215,2008,DODGE,SPRINTER,PRISONER VAN - SPRINTER,SPD,"16,102.00",07/20/2020,BIDADOO ONLINE AUCTION,WD0PF045385309504,VAN
G95448,2010,KENWORTH,T800B,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,"38,750.00",11/05/2019,BIDADOO ONLINE AUCTION,1XKDPBEX0AR261645,TRUCK - HEAVY
G95449,2010,KENWORTH,T800B,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,"75,000.00",08/22/2019,MURPHYS AUCTION,1XKDPBEX2AR261646,TRUCK - HEAVY
31611,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,826.00",01/25/2018,BIDADOO ONLINE AUCTION,2FABP7BV4BX161550,SEDAN - PATROL
58278,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,"3,900.00",02/22/2016,MURPHYS AUCTION,2W9MPH55X5P044101,SCOOTER
58280,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,"3,600.00",02/22/2016,MURPHYS AUCTION,2W9MPH5545P044109,SCOOTER
G85446,2009,PETERBILT,367,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,"45,000.00",08/22/2019,MURPHYS AUCTION,1XPTDBOX69D785803,TRUCK - HEAVY
98241,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,"1,350.00",12/21/2017,MURPHYS AUCTION,2W9MPH6179S044104,SCOOTER
31612,2011,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,"1,739.00",12/21/2017,MURPHYS AUCTION,2FABP7BV6BX161551,SEDAN - PATROL
31613,2011,FORD,CROWN VICTORIA,PATROL CAR K9,SPD,"2,185.99",07/18/2019,BIDADOO ONLINE AUCTION,2FABP7BV8BX161552,SEDAN - PATROL
71415,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,"7,407.77",10/05/2018,BIDADOO ONLINE AUCTION,JTDTK20U177621640,SEDAN - SML - HYBRID
71804,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,"6,000.00",08/22/2018,MURPHYS AUCTION,JTDKB20U977612328,SEDAN - SML - HYBRID
43500,2004,FREIGHTLINER,MT55,TRUCK - AERIAL LIFT - TELELECT - CLASS 7,SDOT,"14,418.00",06/20/2018,BIDADOO ONLINE AUCTION,4UZAAXDC15CU00195,TRUCK - AERIAL - BUCKET
81945,2008,E-RIDE,EXV-2,ELECTRIC TRUCK - 2 PSSGR,DPR,"1,550.00",06/23/2017,MURPHYS AUCTION,1E9EA15S88P36278,TRUCK - LIGHT - ELECTRIC
81943,2008,CANADIAN ELECTRIC VEHICLES LTD,MIGHT E TRUCK JR,ELECTRIC TRUCK - PICKUP BOX,DPR,"6,700.00",06/20/2018,BIDADOO ONLINE AUCTION,2C9JL12148E197040,TRUCK - LIGHT - ELECTRIC
P0501,2004,OLYMPIC,OM6T-1E,TRAILER - 5200 LB GVWR,DPR,"2,375.00",02/01/2017,BIDADOO ONLINE AUCTION,1C9TF12144T879704,TRAILER
05928,2000,BUTLER,TS-612DD,TRAILER - TILT DECK - 5500 LB GVWR,DPR,"1,425.00",04/26/2016,MURPHYS AUCTION,1BUD12101Y2003978,TRAILER
81048,2008,TOYOTA,PRIUS - CONVERTED TO PLUGIN,SEDAN COMPACT HYBRID PLUG IN ELECTRIC,FAS,"5,150.00",07/02/2019,MURPHYS AUCTION,JTDKB20U883310568,SEDAN - SML - PHEV
08316,2000,CUSHMAN,488,SCOOTER 3 WHEEL,FAS,"2,950.00",07/14/2020,MURPHYS AUCTION,1CHMH6609YL001077,SCOOTER
30933,2010,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,"3,950.00",10/07/2019,BIDADOO ONLINE AUCTION,1GCESBD90A8108223,TRUCK - LIGHT
13177,2001,GMC,SAFARI,PASSENGER MINIVAN,SPD,"4,600.00",04/26/2016,MURPHYS AUCTION,1GKEL19WX1B519741,VAN - MINIVAN
37018,2003,KOMATSU,FG30HT12,FORKLIFT - 6000 LB LIFT,DPR,"16,250.00",06/25/2018,MURPHYS AUCTION,564352A,FORKLIFT
13181,2001,CHEVROLET,EXPRESS,PASSENGER VAN,SPD,"7,200.00",07/02/2019,MURPHYS AUCTION,1GAHG39G211224696,VAN
13197,2001,CHEVROLET,G3500,PASSENGER VAN,SPD,"1,900.00",01/28/2016,BIDADOO ONLINE AUCTION,1GAHG39R211219029,VAN
31584,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,525.00",03/07/2018,MURPHYS AUCTION,2FABP7BV2BX149249,SEDAN - PATROL
15661,2001,ADDCO,DH-1000,TRAILER MOUNTED MESSAGE BOARD - SOLAR,SDOT,"1,801.00",08/07/2019,BIDADOO ONLINE AUCTION,1A9H121071M157310,TRAILER - MESSAGE BOARD
31585,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,790.00",12/21/2017,MURPHYS AUCTION,2FABP7BV5BX161539,SEDAN - PATROL
31586,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,475.00,09/01/2017,MURPHYS AUCTION,2FABP7BV1BX161540,SEDAN - PATROL
31588,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,654.00",06/11/2019,BIDADOO ONLINE AUCTION,2FABP7BV5BX161542,SEDAN - PATROL
63184,2006,DODGE,SPRINTER,CARGO VAN - SPRINTER,SPD,"16,800.00",04/16/2020,BIDADOO ONLINE AUCTION,WD0PD444465900474,VAN
79109,2007,CHEVROLET,TAHOE,SUV FULLSIZE 2WD,SPD,"5,700.00",07/15/2020,BIDADOO ONLINE AUCTION,1GNEC03037R395197,SUV - LRG
31533,2011,NISSAN,LEAF,SEDAN SUBCOMPACT ELECTRIC,FAS,860.00,05/08/2017,MURPHYS AUCTION,JN1AZ0CP9BT004961,SEDAN - SML - ELECTRIC
93451,2009,FORD,ESCAPE HYBRID,COMPACT SUV - HYBRID - 4X4,SDOT,"7,300.00",06/09/2020,BIDADOO ONLINE AUCTION,1FMCU59319KC65311,SUV - SML - HYBRID
15712,2001,PETERBILT,320,TRUCK - EDUCTOR - VACTOR,SPU,"35,100.00",03/30/2016,BIDADOO ONLINE AUCTION,1NPZLT0X21D713031,TRUCK - EDUCTOR
75512,2007,PETERBILT,335,TRUCK - FLATBED - CRANE - CLASS 7,SPU,"46,100.00",10/07/2019,BIDADOO ONLINE AUCTION,2NPLHN6X48M752105,TRUCK - FLATBED
31589,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,925.00",03/06/2019,BIDADOO ONLINE AUCTION,2FABP7BV7BX161543,SEDAN - PATROL
86604,2008,JOHN DEERE,410J,BACKHOE LOADER - 15080 LB,SPU,0.00,08/09/2018,MURPHYS AUCTION,T0410JX167653,LOADER - BACKHOE
71880,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,"6,577.77",10/30/2018,MURPHYS AUCTION,JTDKB20U577643253,SEDAN - SML - HYBRID
72520,2007,TOYOTA,PRIUS,SEDAN COMPACT - HYBRID,SPU,"7,100.00",02/28/2018,BIDADOO ONLINE AUCTION,JTDKB20UX77643829,SEDAN - SML - HYBRID
63793,2006,FORD,F150,PICKUP,DPR,"6,850.00",10/21/2016,MURPHYS AUCTION,1FTPW12V26FB69230,TRUCK - LIGHT
61861,2006,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,"4,900.00",10/30/2018,MURPHYS AUCTION,JTDKB20U463144868,SEDAN - SML - HYBRID
63910,2006,FORD,F350,PICKUP - FLATBED,DPR,"7,100.00",10/05/2018,BIDADOO ONLINE AUCTION,1FDSX34596ED68096,TRUCK - LIGHT
07136,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,"12,500.00",05/02/2019,BIDADOO ONLINE AUCTION,K005D003762X,FORKLIFT
71924,2007,TORO,WORKMAN E2065,UTILITY VEHICLE - ELECTRIC,DPR,"3,300.00",01/24/2017,BIDADOO ONLINE AUCTION,270000168,UTILITY VEHICLE - ELECTRIC
71925,2007,TORO,WORKMAN E2065,UTILITY VEHICLE - ELECTRIC,DPR,"2,900.00",07/19/2016,BIDADOO ONLINE AUCTION,270000169,UTILITY VEHICLE - ELECTRIC
83846,2008,FORD,RANGER,COMPACT PICKUP,DPR,"4,349.00",03/29/2018,BIDADOO ONLINE AUCTION,1FTZR14U38PA05146,TRUCK - LIGHT
65323,2006,FORD,E450,MEDIC AID VAN - NEW BODY,SFD,"1,500.00",06/29/2017,MURPHYS AUCTION,1FDXE45P06DB40771,MEDIC UNIT
P194071,2006,LANDPRIDE,BALLFIELD GROOMER,BALLFIELD GROOMER,DPR,"1,875.00",08/21/2017,BIDADOO ONLINE AUCTION,461631,GROOMER
31570,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,100.00",10/21/2016,MURPHYS AUCTION,2FABP7BV4BX149236,SEDAN - PATROL
70470,2007,CHEVROLET,IMPALA,SEDAN MIDSIZE,SPD,"3,350.00",11/14/2019,MURPHYS AUCTION,2G1WS58R879399088,SEDAN - MED
31591,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,050.00",07/02/2019,MURPHYS AUCTION,2FABP7BV0BX161545,SEDAN - PATROL
31593,2011,FORD,CROWN VICTORIA,PATROL CAR -1/2 CAGE,SPD,"2,325.00",06/20/2018,BIDADOO ONLINE AUCTION,2FABP7BV4BX161547,SEDAN - PATROL
31594,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,400.00",03/13/2020,MURPHYS AUCTION,2FABP7BV6BX161548,SEDAN - PATROL
79110,2007,DODGE,CHARGER,PATROL CAR - DUI,SPD,"4,800.15",04/06/2016,BIDADOO ONLINE AUCTION,2B3LA43H07H844260,SEDAN - PATROL
83794,2008,FORD,RANGER,COMPACT PICKUP,DPR,"4,950.00",05/17/2019,BIDADOO ONLINE AUCTION,1FTZR14U48PA92491,TRUCK - LIGHT
93159,2009,GMC,YUKON,FULLSIZE SUV - 4X4,SPD,"8,700.00",11/20/2017,BIDADOO ONLINE AUCTION,1GKGK46K59R242904,SUV - LRG
73179,2007,DODGE,GRAND CARAVAN,PASSENGER MINIVAN,SPD,"5,750.00",06/25/2018,MURPHYS AUCTION,1D8GP24E37B251378,VAN - MINIVAN
72554,2007,DODGE,GRAND CARAVAN,MINIVAN PASSENGER,SPU,"3,700.00",03/06/2019,BIDADOO ONLINE AUCTION,1D4GP24E17B251381,VAN - MINIVAN
71036,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,"3,560.00",03/06/2019,BIDADOO ONLINE AUCTION,1FAHP34N27W297985,SEDAN - SML
71040,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,"3,600.00",08/22/2018,MURPHYS AUCTION,1FAHP34N47W297986,SEDAN - SML
71042,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,"3,450.00",03/06/2019,BIDADOO ONLINE AUCTION,1FAHP34N67W297987,SEDAN - SML
72195,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,"5,400.00",05/03/2019,MURPHYS AUCTION,1FAHP34N87W297988,SEDAN - SML
77147,2007,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,"36,200.00",03/01/2016,BIDADOO ONLINE AUCTION,N7C431776,LOADER - BACKHOE
31573,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,725.00",04/28/2016,BIDADOO ONLINE AUCTION,2FABP7BVXBX149239,SEDAN - PATROL
31574,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,225.09",08/03/2016,BIDADOO ONLINE AUCTION,2FABP7BV6BX149240,SEDAN - PATROL
31578,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"2,111.00",08/18/2016,MURPHYS AUCTION,2FABP7BV3BX149244,SEDAN - PATROL
73766,2007,DODGE,GRAND CARAVAN,VAN - MINIVAN - 8 PASSENGER,SFD,"4,200.00",10/30/2018,MURPHYS AUCTION,1D4GP24E87B251393,VAN - MINIVAN
83223,2008,FORD,RANGER,COMPACT PICKUP,FAS,"6,001.00",05/02/2019,BIDADOO ONLINE AUCTION,1FTZR14U88PA92493,TRUCK - LIGHT
84564,2008,FORD,RANGER,COMPACT PICKUP,SPU,"4,600.00",03/06/2019,MURPHYS AUCTION,1FTZR14U58PA92497,TRUCK - LIGHT
88182,2008,JOHN DEERE,110 TRACTOR/LOADER/BACKHOE,TRACTOR - LOADER - BACKHOE,DPR,"39,887.00",06/11/2019,BIDADOO ONLINE AUCTION,LV0110T710755,TRACTOR - LOADER
30861,2009,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,"5,100.00",03/13/2017,MURPHYS AUCTION,1GCJTBDE8A8100461,TRUCK - LIGHT
79916,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,850.00,07/02/2019,MURPHYS AUCTION,2FAFP71W37X109135,SEDAN - PATROL
31579,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"3,039.00",07/27/2016,BIDADOO ONLINE AUCTION,2FABP7BV5BX149245,SEDAN - PATROL
83599,2008,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SDOT,"8,900.00",12/27/2018,MURPHYS AUCTION,1GCDT19E288208181,TRUCK - LIGHT
71733,2007,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,"7,900.00",11/08/2018,BIDADOO ONLINE AUCTION,4T1BB46K17U013602,SEDAN - MED - HYBRID
71734,2007,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,"2,950.00",05/02/2018,MURPHYS AUCTION,4T1BB46K07U016734,SEDAN - MED - HYBRID
71735,2007,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,"5,975.00",08/22/2018,MURPHYS AUCTION,4T1BB46K47U014663,SEDAN - MED - HYBRID
12909,2001,GMC,SAFARI,PASSENGER MINIVAN,SPD,"4,738.99",06/14/2016,BIDADOO ONLINE AUCTION,1GKEL19W01B519831,VAN - MINIVAN
07219,2000,INGERSOLL RAND,P185WJDU,AIR COMPRESSOR - TRAILER MOUNTED,SDOT,"7,101.00",11/08/2018,BIDADOO ONLINE AUCTION,310212UCK297,COMPRESSOR
73426,2007,FORD,E350,VAN CARGO,SPU,"13,250.00",10/25/2017,MURPHYS AUCTION,1FTSE34L97DB20835,VAN
73519,2007,FORD,E150,CARGO VAN,SDOT,"12,150.00",10/25/2017,MURPHYS AUCTION,1FTNE14W47DB11911,VAN
73520,2007,FORD,E150,CARGO VAN,SDOT,"10,350.00",05/02/2018,MURPHYS AUCTION,1FTNE14WX7DB11914,VAN
73730,2007,FORD,E150,CARGO VAN,SDOT,"7,700.00",12/23/2019,BIDADOO ONLINE AUCTION,1FTNE14W87DB11913,VAN
73942,2007,FORD,E350,CARGO VAN,DPR,"5,600.00",12/21/2017,MURPHYS AUCTION,1FTSE34L97DA47241,VAN
63363,2006,DODGE,SPRINTER,VAN CARGO SPRINTER 3500  9990GVW,DPR,"17,250.00",12/21/2017,MURPHYS AUCTION,WD0PD444465968869,VAN
31580,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"3,550.00",01/05/2017,BIDADOO ONLINE AUCTION,2FABP7BV7BX149246,SEDAN - PATROL
74033,2007,FORD,E350,CARGO VAN,SPL,"8,900.00",09/04/2018,BIDADOO ONLINE AUCTION,1FTNE24L77DA51134,VAN
74035,2007,FORD,E350,CARGO VAN,SPL,"4,350.00",10/05/2018,BIDADOO ONLINE AUCTION,1FTNE24L97DA51135,VAN
31582,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,925.00",03/13/2017,MURPHYS AUCTION,2FABP7BV9BX149247,SEDAN - PATROL
84680,2008,FORD,F250,PICKUP - 4X4,SPU,"13,750.00",10/25/2017,MURPHYS AUCTION,1FTSX21588EB86637,TRUCK - LIGHT
73347,2007,FORD,F150,PICKUP,DPR,"7,700.00",12/13/2018,BIDADOO ONLINE AUCTION,1FTRX12W67FB55623,TRUCK - LIGHT
66457,2006,KOBELCO,ED150,EXCAVATOR - 18 TON DOZER BLADE,SPU,"48,600.00",01/16/2019,BIDADOO ONLINE AUCTION,YL0500813,EXCAVATOR
75420,2007,EMERGENCY ONE,PUMPER,PUMPER - TOP MOUNTED CONTROLS,SFD,"2,050.00",10/25/2017,MURPHYS AUCTION,4ENGAAA8171002995,FIRE - PUMPER
13156,2001,CHEVROLET,G3500,PASSENGER VAN,SPD,"5,500.00",09/03/2019,MURPHYS AUCTION,1GAHG39R411217332,VAN
31583,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,850.00",12/27/2018,MURPHYS AUCTION,2FABP7BV0BX149248,SEDAN - PATROL
14561,2001,GMC,SONOMA,COMPACT PICKUP TRAINING,SPD,"3,551.00",10/30/2018,MURPHYS AUCTION,1GTCS19W018227101,TRUCK - LIGHT
63369,2006,FORD,RANGER,COMPACT PICKUP,DPR,"4,650.00",03/13/2017,BIDADOO ONLINE AUCTION,1FTZR44U26PA57429,TRUCK - LIGHT
63928,2006,FORD,RANGER,COMPACT PICKUP,DPR,"3,500.00",03/13/2017,MURPHYS AUCTION,1FTZR44U06PA57428,TRUCK - LIGHT
63397,2006,FORD,RANGER,COMPACT PICKUP,DPR,"2,050.00",03/13/2017,MURPHYS AUCTION,1FTZR44U96PA57427,TRUCK - LIGHT
79994,2007,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,"1,600.00",03/23/2016,BIDADOO ONLINE AUCTION,2FAHP71WX7X141816,SEDAN - PATROL
95713,2009,PETERBILT,320,TRUCK - EDUCTOR - VAC CON,SPU,"80,000.00",02/22/2019,MURPHYS AUCTION,3BPZLU0X19F719128,TRUCK - EDUCTOR
95526,2009,PETERBILT,320,TRUCK - EDUCTOR - VAC CON,SPU,"38,100.00",02/27/2019,BIDADOO ONLINE AUCTION,3BPZLU0X19F719131,TRUCK - EDUCTOR
63861,2006,FORD,RANGER,COMPACT PICKUP,DPR,"7,000.00",10/25/2017,MURPHYS AUCTION,1FTYR10D26PA12054,TRUCK - LIGHT
P0618,2006,UNKNOWN,UNKNOWN,TRAILER - TANDEM AXLE,DPR,"6,600.00",06/11/2019,BIDADOO ONLINE AUCTION,5DYAA15247C002841,TRAILER
63400,2006,FORD,RANGER,COMPACT PICKUP,DPR,"4,550.00",03/03/2017,BIDADOO ONLINE AUCTION,1FTZR44U96PA57426,TRUCK - LIGHT
63393,2006,FORD,RANGER,COMPACT PICKUP,DPR,"2,325.00",03/13/2017,MURPHYS AUCTION,1FTZR14U26PA57431,TRUCK - LIGHT
45688,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,"14,550.00",02/03/2016,BIDADOO ONLINE AUCTION,1ATCS54315L189061,TRAILER
45671,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,"11,000.00",01/14/2016,BIDADOO ONLINE AUCTION,1ATCS547325L189053,TRAILER
3124,1992,GMC,G3500,PRISONER VAN,SPD,"1,925.00",10/25/2017,MURPHYS AUCTION,2GJGG39K9N4505571,VAN
83912,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,"9,310.00",01/25/2019,BIDADOO ONLINE AUCTION,1FBNE31L48DB13282,VAN
83365,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,"10,105.00",01/25/2019,BIDADOO ONLINE AUCTION,1FBNE31L28DB13281,VAN
83918,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,"9,900.00",02/27/2019,BIDADOO ONLINE AUCTION,1FBNE31L48DB13279,VAN
83366,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,"7,406.00",01/25/2019,BIDADOO ONLINE AUCTION,1FBNE31L68DB13283,VAN
14524,2001,FORD,F450,PICKUP - HOOK LIFT - MULTIBODY - CLASS 4,SPU,"18,402.00",01/06/2016,BIDADOO ONLINE AUCTION,1FDXF46FX1EA81752,TRUCK - HEAVY
81931,2008,TORO,WORKMAN 4300,UTILITY VEHICLE 4 WHEEL,DPR,"5,450.00",12/08/2016,MURPHYS AUCTION,280000169,UTILITY VEHICLE
