ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
P18089,P18089,Community Partnership Fund,2018,Reckoning Trades Community Organizing Project,Reckoning Trades Project,"The Reckoning Trades Project will organize women and LGBTQ trades workers by building support systems, hosting educational forums, and organizing social events.  The project will include networking and community building by connecting women and LGBTQ trades workers to resources, support, development opportunities, and one another. The group will host 7 community socials, 2 educational community forums, 8 public meetings, and a retreat.","20,000","25,400",Citywide (One or more Districts),
P18088,P18088,Community Partnership Fund,2018,City Youth Mentorship Project,Friends of Hip Hop is Green,"The medium of Hip Hop will be used to create holistic community educational programming focusing on healthier eating. Over a 12 month period this will includes a series of  youth led events, community urban farming, musical performances and a  culinary program.","42,000","42,040",District 2,
P18087,P18087,Community Partnership Fund,2018,Greening Concord Elementary School,Concord International Elementary PTA,"Concord Elementary School PTA will contract with a landscape architect and structural engineering team to prepare the schematic design and permit specifications for Phase II of the Greening Concord International Elementary School project.    The improvements will create a safe, accessible and welcoming place for school and neighborhood members alike.","31,768","22,595",District 1,
P18086,P18086,Community Partnership Fund,2018,Seattle Tutoring Partners,Somali Community Services of Seattle,"Somali Community Services of Seattle will organize a free and open tutoring program for elementary and middle school students from January to June 2019. Approximately 35 youth will work with approximately 18 tutors from the UW and broader community.   In addition, there will be a series of four open community workshops on topics including study skills and parenting students. It is the goal of this project to build community connections and skills in education.","20,000","21,120",District 2,
P18085,P18085,Community Partnership Fund,2018,Hear and Now: Community Perceptions of Homelessness,Path with Art,"Hear and Now will bring attention to issues surrounding homelessness. Hear and Now will bring adults living in or who are in recovery from homelessness, addiction or other trauma, together with members of the general public to conceptualize a response to community perceptions of homelessness through music and performing arts. Interactive exhibitions of the S'Leiterwägeli sound sculpture, community art classes, and performances will take place throughout 2019.","70,000","56,705",District 7,
P18084,P18084,Community Partnership Fund,2018,Market To MOHAI Corridor Improvement,Downtown Seattle Association,"The Downtown Seattle Association will install wayfinding blade signs, historic markers, and sidewalk design features along the pedestrian corridor from the Pike Place Market to the Museum of History and Industry (primarily Bell St, Denny Way, and Westlake Ave). Input on corridor branding elements will be gathered at community events, including the September 30 Wooden Boat Festival in South Lake Union Park. Elements will be installed by September 2019, and a community celebration will be held.","85,000","168,160",District 7,
P18080,P18080,Community Partnership Fund,2018,Beer Sheva Park Lake Access - Construction Phase 1,Rainier Beach Link2Lake Open Space Steering Committee,"With the approval of the Department of Parks and Recreation, construction documents, 100% bid ready, will be produced for improvements at Beer Sheva Park. This phase will continue to demonstrate strong community momentum, engaging the diverse population of the Rainier Beach Community.","78,300","42,090",District 2,
P18078,P18078,Community Partnership Fund,2018,Mt. Baker Safe Access:  Street to Park,Friends of Safe Access:  Street to Park,"Friends of Safe Access: Street to Park are applying for funding to construct Phase I of the community-supported design which will include new stairs, guardrails, and a lower integrated path into Mount Baker Park.","100,000","50,003",District 3,
P18074,P18074,Community Partnership Fund,2018,Hawthorne Community STEAM Exploration Play Space,Friends of Hawthorne PTA,"This application seeks funds to begin initial construction of a new neighborhood play space at Hawthorne Elementary.  
Last year, with help from Department of Neighborhoods, our community developed a shared vision for transforming the space into a tree-filled sanctuary that the community will enjoy year-round.
This phase will include construction of new sitting areas, a creative play area; and opening a new entryway to increase neighborhood access to the yard.","100,000","129,250",District 2,
P18072,P18072,Community Partnership Fund,2018,Cayton Corner Park Final Design Documents & Permit,Friends of Cayton Corner Park,"The Friends of Cayton Corner Park will continue work with a landscape architecture firm to complete final design documents and obtain permits for construction of a park at 1831 E Madison St. At SPR's request, a water meter will be added to the existing water connection from the adjoining building. Documents and permitting for subsequent construction will be completed by August 2019.","65,000","61,240",District 3,
P18067,P18067,Community Partnership Fund,2018,"Redlining History and Culture Trail, CID-CD",CID-CD,"The CID-CD Neighbors propose to develop and test Redlining History and Culture Trail Walks linking the Chinatown International District, First Hill, and Central District, launch free guided walks, and produce lasting interpretive display panels, outreach materials, brochures, and a webpage.","27,932","48,220",Citywide (One or more Districts),
P18065,P18065,Community Partnership Fund,2018,Detective Cookie Chess Park Phase 3,Friends of Detective Cookie Chess Park,"The Friends of Detective Cookie Chess Club will continue working with a landscape architect, and civil engineer to develop the 60% Street Improvement Permit (SIP) construction drawings to submit to SDOT by late Spring 2019. This phase includes the permit review by SDOT. The resulting, permitted drawings will then be ready for the next phase of construction, separate from this proposal.","25,000","10,696",District 2,
P18064,P18064,Community Partnership Fund,2018,Imagine Africatown Activation at Midtown,Africatown-Central District Preservation & Development Association,"The Imagine Africatown Fall and Winter Activation project will create a temporary art based neighborhood destination at Midtown located at 2301 East Union Street. The project will celebrate the African American/African Diaspora legacy and culture in the Central District with art, pop up events, and other programming. This project will be completed by March 28, 2019.","82,500","70,440",District 3,
P18062,P18062,Community Partnership Fund,2018,Master Plan for Maple Elementary School,Friends of Maple Elementary School,"Friends of Maple Elementary School will hire a landscape architect/master plan designer and conduct extensive outreach to receive input on proposed improvements to the school grounds.  Goals are to improve access routes to the school (4925 Corson Ave S) and to increase the outdoor usability of the school site for students, neighbors, and community groups. A master plan will be completed by March 2019, and construction documents for the first phase of improvements will be prepared by May 2019.","48,250","32,000",District 2,
P18060,P18060,Community Partnership Fund,2018,Meeting of the Minds Community Arts Forum,206 Zulu,"During President's Day weekend of 2019, 206 Zulu will host the Meeting of the Minds Community Arts Forum at historic Washington Hall,153 14th Avenue. This weekend of intensive programming will bring together local leaders, artists, youth, families and nationally recognized pioneers in urban arts activism. The free community showcase will include guest speakers, panels, presentations, art displays and performances from both emerging and established musicians, artists and dancers.","68,000","42,033",District 3,
P18056,P18056,Community Partnership Fund,2018,Broadcasting SE Seattle Voices,SouthEast Effective Development,"Over the next twelve months Broadcasting SE Seattle Voices will educate & empower SE Seattle residents to produce community radio programs for KVRU 105.7 FM. The project includes: the development of a training program; the purchase of mobile recording and editing equipment for community use, and the equipment to broadcast live community programs.  The equipment will be purchased and the training programs will be developed between September and December of 2018. The first series of classes is scheduled to begin in January of 2019, thereafter they will occur quarterly.","69,000","64,200",District 2,
P18054,P18054,Community Partnership Fund,2018,UDFB Anaerobic Digester Project,University District Food Bank,"The University District Food Bank will install an anaerobic digester at the food bank (5017 Roosevelt Way NE) by May 2019 to lessen food waste and provide free compost to neighborhood P-Patch gardens. A public meeting will be held to collect input on how to best use the digester as an educational tool for the community. Community members will also participate in building the anaerobic digester by May/June 2019. Free monthly community workshops about anaerobic digestion, public health, and renewable energy will be offered on an ongoing basis.","100,000","129,420",District 4,
P18053,P18053,Community Partnership Fund,2018,South Park Gateway Welcome Sign,South Park Retail Merchants Association,"In community conversations, there has been a request to create a welcome sign and add green space per the Duwamish Valley Vision Plan, 2009. After hearing from the community, the South Park Retail Merchants Association, (SPMA), has spearheaded the planning and design for a welcome sign at the intersection of 14th and Director Street. SPMA will oversee the fabrication and installation of the project and host a ribbon cutting event with community partners.
This project will be completed by June 28, 2019.","45,764","24,800",District 1,
P18052,P18052,Community Partnership Fund,2018,Parent Training Leadership Init. Pilot Project,East African Community Services,"The Parent Training Leadership Initiative Pilot Project (PTLI) located at 7050 32nd Ave S on the New Holly Campus will host a year long training program for East African parents starting December 2018 thru September 2019. This pilot project will cover issues such as culture, citizenship, racism, poverty, and diversity.  The aim of the program is to engage, educate and to empower the East African community.","33,790","32,700",District 2,
P18051,P18051,Community Partnership Fund,2018,Magnolia Historical Essay Project III,Magnolia Historical Society,"The Magnolia Historical Essay Project III is the third volume in a continuing tradition of Magnolia neighborhood histories following two award nominated and winning volumes. More than 40 residents will volunteer their efforts to create a beautiful book that will be a keepsake and an accurate historical record for future generations.  This essay will serve as a permanent record of Magnolia history in the midcentury era, '50's and '60's, extending the record provided by previous volumes and the scope of history already collected. This project will be completed by October 31, 2019.","80,000","54,775",District 7,
P18050,P18050,Community Partnership Fund,2018,8th Ave S Street End 60% Design,Georgetown Open Space Steering Committee,"The Georgetown Open Space Steering Committee will work with a landscape architect/engineering firm to develop 60% design for community amenities at the 8th Ave S Street End (vicinity of 7575 8th Ave S).  Design elements will include a bioswale, re-grading the street end, ADA parking, benches, picnic tables, and accessible shoreline.  Community engagement will include working with adjacent businesses and conducting two rounds of community input to inform a cohesive street end and shoreline design by the early spring of 2019.","52,391","28,800",District 2,
P18047,P18047,Community Partnership Fund,2018,2018-19 Belltown Community Parks + Arts Activation,Belltown Community Council Parks and Arts,"The 2017 Belltown Community Plan prompted a revival of civic urbanism.  One plan objective is more park activation to bring the community together.  This project will support the expenses of a schedule of several park events and programming throughout the year in Belltown  parks. This project will be completed by September 30, 2019.","34,825","42,100",District 7,
P18046,P18046,Community Partnership Fund,2018,Delridge Triangle: Creating a Safe Community Space,Friends of the Delridge Triangle,The Friends of the Delridge Triangle will hire a Landscape Architect to create a conceptual redesign for the Delridge Triangle based on community input. The property is located at 9200 Delridge Way SW. Public input meetings and the design work will take place between fall 2018 and spring 2019.,"41,450","29,990",District 1,
P18043,P18043,Community Partnership Fund,2018,Rhapsody Roots Music Class,Community Arts Create,"Rhapsody Project instructors will collaborate with a diverse set of Seattle musicians and educators to design curriculum and deliver a weekly roots music class to 30 youth during a 10 week period between September and December of 2018 at the Hillman City Collaboratory.  The project will culminate in a free community concert in December.  Students will be offered a stipend for attending the classes, completing a guided independent study in the spring of 2019 and for their participation in the concert.","28,160","27,960",District 7,
P18042,P18042,Community Partnership Fund,2018,Green Lake Elementary Active Space Master Plan,Green Lake Elementary PTA,Green Lake Elementary PTA will hire a design team to develop a master plan for Green Lake Elementary School's (2400 N. 65th St) active space area that is more inclusive and inviting to the school and the neighborhood. Three community meetings will be held. A master plan and phase 1 construction documents will be prepared by June 2019.,"49,940","36,015",District 4,
P18040,P18040,Community Partnership Fund,2018,Saili Ao Malo - Samoan American Trilogy,Le Leo o Samoa: Voice of Samoa,"Le Leo o Samoa - The Voice of Samoa will engage community members to create a trilogy documentary to raise awareness of and celebrate Samoan culture.  Three outreach events will be held between fall 2018 and spring 2019 at locations in Seattle to be determined.  A final public screening event highlighting Fa'asamoa, the Samoan way of life, will be held in July 2019 at a location in Seattle to be determined.","60,000","49,200",Citywide (One or more Districts),
P18038,P18038,Community Partnership Fund,2018,Maynard Alley Revitalization: Phase 1 of 2,Maynard Alley Partnership (MAP),"The Maynard Alley Partnership, a group of community stakeholders and leaders, and the SCIDpda are partnering with Dr. Jeff Hou's UW Landscape Architecture studio class to study concepts to improve Maynard Alley. This project aligns with the community's work over recent years to revitalize its alleys. Once implemented, the changes will make Maynard Alley safer and more usable for pedestrians and community members. This project will be completed by September 30, 2019.","17,000","11,600",District 2,
P18037,P18037,Community Partnership Fund,2018,Discovery Park South Beach Trail,Friends of Discovery Park,"The Friends of Discovery Park will develop two alternatives of trail design and viewpoints for the South Beach Trail based on meetings with, Seattle Parks and Recreation and the public. The trail is periodically closed due to steep slopes and erosion. New trail design is needed to increase safety and keep the trail open. This project will be completed by May 31, 2019.","79,180","39,600",District 7,
P18036,P18036,Community Partnership Fund,2018,The Magnolia Village Mural Project,Magnolia Chamber of Commerce,"This grant will fund Phase 2 of the Magnolia Chamber of Commerce mural project that was developed during 2017 with a 2017 NMF award. The mural project will enhance Magnolia Village's downtown core by painting a vibrant, interactive mural integrating art designs from neighbor school children, with a culminating community celebration event. The content of the mural is based on representing groups of three different species birds flocking together: A visual metaphor of innovative collaboration and interaction that many parts make a whole.","25,000","19,756",District 7,
P18033,P18033,Community Partnership Fund,2018,Ethiopian Heritage Arts and Music Festival 2018,"BEGO, Inc.","BEGO, Inc. will host an Ethiopian cultural festival on August 12, 2018 from 10am - 10pm. It will take place on E Cherry St between 23rd Ave and Martin Luther King Jr Way.  The free event will feature musicians, dancers, creative artists, vendors, food, and family activities.","28,000","59,000",District 3,
P18032,P18032,Community Partnership Fund,2018,Borealis Festival of Light,Borealis Light Arts Collective,"The Borealis Light Arts Collective will host the Borealis Festival of Light, a display of light art that will take place on October 11, 12, and 13, 2018 from 5 pm - 9 pm nightly at Lake Union Park located at 860 Terry Ave N.  The festival will feature light art installations, multi-media projections on surrounding structures, and performance art.","96,000","162,800",District 3,
P18031,P18031,Community Partnership Fund,2018,2018 Gullah Geechee Festival: Call and Response,Gullah Geechee,"The Gullach Geechee Festival - Call and Response is a diverse set of activities from August through November 2018 including poetry readings, a genealogy weekend, an American Gullah Art Exhibit and a 3 day Gulla Geechee Family Reunion. These activities will highlight and celebrate a long forgotten African American sub-culture.","78,600","64,208",Citywide (One or more Districts),
P18029,P18029,Community Partnership Fund,2018,BrasilFest 2018,Brazil Center,"Brazil Fest, a celebration of the people, food and culture of Brazil will be held on  Sunday, August 19th from noon - 7 pm at three locations in the Seattle Center; the Mural Theatre,  Amory Loft and the Fisher Pavilion Rooftop.  The event will include  music, food, dancing, workshops and children's activities all done in a big Brazilian way.","15,000","11,000",Citywide (One or more Districts),
P18028,P18028,Community Partnership Fund,2018,Design is Everywhere Community Parklet,Center for Architecture and Design,"The Design is Everywhere Community Parklet Project located at 1010 Western Avenue will help build community, promote bike and pedestrian mobility, and demonstrate design excellence in a urban environment. The parklet will provide the neighborhood that is a mix of residential and retail establishments a location where people can come together. The project is projected to be completed by the Summer of 2019.","57,600","28,805",District 7,
P18027,P18027,Community Partnership Fund,2018,Viking Days,Nordic Museum,"Nordic Museum's (NM) annual Viking Days festival will celebrate its 35th anniversary on July 14-15, 2018. This will be the first Viking Days held at NM's new facility which opened on May 5, 2018. Free to the public, this beloved community festival welcomes visitors to the Museum over the 2-day weekend.  Viking Days offers a rich overview of Nordic culture for new and regular visitors alike.","60,000","57,212",District 6,
P18024,P18024,Community Partnership Fund,2018,Communities Connect Through Ethnic Media,African Ethnic Media Seattle,"African Ethnic Media Seattle will train approximately seven youth aged 16 to 21 in video production, journalistic writing, and web design. The trainings will be held at 1225 South Weller St during summer 2018. The youth participants will then work with community leaders to develop approximately six community forums on topics that affect immigrant communities and communities of color. The forums will be held at various public locations between fall 2018 and spring 2019.","28,000","30,300",District 3,
P18022,P18022,Community Partnership Fund,2018,Haida Roots Language & Youth Arts Program,Haida Heritage Foundation,"The Haida Roots Language and Youth Arts Program is an effort by the Haida Heritage Foundation (HHF), to keep the culture & critically endangered Xaad kil (Haida language) alive.  This project, over the next 12 months will include dance, music, a youth art component, language classes and instruction in basket weaving and regalia making with renowned local artists. Classes will be held at the Daybreak Star Center, located at 5011 Bernie Whitebear Way.  A  community wide celebration will be held at the conclusion of the project.","100,000","50,679",District 7,
P18021,P18021,Community Partnership Fund,2018,Harvest for All,City Fruit,"City Fruit is planning to execute a Harvest For All -- expanding the harvest and distribution work to include all of Seattle's neighborhoods. During the 2018 Great Seattle Fruit Harvest from July to November, City Fruit will expand its harvest roster to various locations that will include Northgate, Capitol Hill, Central District, and International District.  This harvest expansion broadens access to a more equitable neighborly food system.","27,900","16,760",Citywide (One or more Districts),
P18020,P18020,Community Partnership Fund,2018,"Connect 10,000 - Video Storytelling",Rainier Chamber of Commerce,"Over the next twelve months the Connect 10,000 Video Storytelling project will facilitate  the creation of 50 professional videos showcasing the vitality of Southeast Seattle.  Storytellers will be recruited from diverse businesses and organizations with a focus on women of color and youth.  Several public events are planned.","53,000","42,865",District 2,
P18019,P18019,Community Partnership Fund,2018,San Gennaro Festival - Seattle,San Gennaro Foundation of Seattle,"On September 7th, 8th and 9th the San Gennaro Foundation of Seattle will host The San Gennaro Festival located at 1225 South Angelo Street. The Festival is a three day celebration of the flavors and arts of the Italian community. The festival will be held in  historic Georgetown, where Italian immigrants settled when arriving to Seattle. The festival is free and open for all to attend.","37,000","34,370",District 2,
P18018,P18018,Community Partnership Fund,2018,South Seattle Youth Theatre Initiative,Intiman Theatre,Intiman will collaborate with local community partners to organize two sessions of afterschool youth theater activities.  Each session will consist of approximately six weeks of training and a public theatrical performance.  The first session will be held in fall 2018 at Franklin High School located at 3013 S Mt Baker Blvd.  The second session will be held in spring 2019 at Rainier Beach High School located at 8815 Seward Park Ave S.,"80,000","60,000",District 2,
P18016,P18016,Community Partnership Fund,2018,Totem Pole in  Baker Park on Crown Hill,Whittier Heights Community Council,"The Whittier Heights Community Council will replace a Haida totem pole and restore plants at Baker Park, 8347 14th NW. This project complements a planned park renovation by Seattle Parks and Recreation. Work will be completed by the end of 2018. A community celebration of the replacement pole will be held in October 2018 in cooperation with the Haida Community Dancers.","22,500","13,273",District 6,
P18015,P18015,Community Partnership Fund,2018,Daybreak Star Bathroom Update Planning and Design,United Indians of All Tribes Foundation,"Daybreak Star houses Indigenous Art the Sacred Circle Gallery and also hosts large community events such as Seafair Indian Days Powwow and Indigenous Peoples' Day. Daybreak Star's restrooms are not ADA-compliant. This project will develop a design to turn a closet into a universal, accessible, single restroom on the upper level of the building and modifications for the lower level restrooms to comply with current accessibility codes. This project will be completed by February 2019.","23,000","13,370",District 7,
