Department,Jobtitle,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
City Light,Elecl Svc Rep,31.79,6,32.31,7,32.07,13,68.62,98.41,
City Light,"Elecl Svc Rep,Sr",35.37,4,34.71,13,34.87,17,71.41,101.92,
City Light,"Elecl Svc Rep,Supvsng",39.95,3,39.95,4,39.95,7,77.71,100,
City Light,Elecl Work Rev CC,,,46.28,4,46.28,4,61.5,,No women in title
City Light,Electric Util Exec 2,,,77.8,3,77.8,3,21,,No women in title
City Light,"Electric Util Exec 3,Dir",86.34,1,86.81,6,86.75,7,39.71,99.45,
City Light,"Electric Util Exec 3,Ofcr",,,107.39,2,107.39,2,24.5,,No women in title
City Light,Engrng Aide,24.58,2,25.99,3,25.43,5,47.4,94.57,
City Light,Enrgy Mgmt Anlyst,41.39,1,41.42,4,41.41,5,33.4,99.93,
City Light,Enrgy Mgmt Anlyst Supv,49.56,2,49.56,2,49.56,4,112.25,100,
City Light,"Enrgy Mgmt Anlyst,Asst",35.57,3,36.59,5,36.21,8,56.63,97.21,
City Light,"Enrgy Mgmt Anlyst,Sr",45.96,4,45.96,14,45.96,18,45.06,100,
City Light,Enrgy Plng Anlyst,33.69,1,33.67,2,33.67,3,8.33,100.07,
City Light,Enrgy Plng Supv-BU,,,49.56,2,49.56,2,110,,No women in title
City Light,Enrgy Res&Eval Anlyst,,,39.96,1,39.96,1,260,,No women in title
City Light,"Envrnmtl Anlyst,Sr",42.75,9,41.06,3,42.33,12,86.58,104.11,
City Light,Equal Emplmnt Coord,36.3,1,,,36.3,1,8,,No men in title
City Light,Equip Svcr,,,24.24,3,24.24,3,30,,No women in title
City Light,Exec Asst,41.91,9,43.1,2,42.12,11,82.18,97.23,
City Light,Executive2,67.16,9,66.68,8,66.93,17,41.06,100.72,
City Light,Executive3,,,79.79,3,79.79,3,31.33,,No women in title
City Light,Facility Techl Supv-BU,,,36.3,1,36.3,1,17,,No women in title
City Light,Fleet Mgmt Coord,,,34.94,1,34.94,1,16,,No women in title
City Light,Gardener,24.35,4,24.35,4,24.35,8,123.13,100,
City Light,"Gardener,Sr",27.25,1,,,27.25,1,91,,No men in title
City Light,Generation Supv,,,54.61,1,54.61,1,200,,No women in title
City Light,Generation Supv-BU,,,54.61,2,54.61,2,229,,No women in title
City Light,Graphic Arts Designer,29.99,1,,,29.99,1,88,,No men in title
City Light,Grounds Maint CC,,,33.38,1,33.38,1,26,,No women in title
City Light,HVAC Tech,,,32.75,3,32.75,3,78,,No women in title
City Light,Hydro Maint Wkr I-Gen,,,24.65,6,24.65,6,45.5,,No women in title
City Light,Hydro Maint Wkr II-Gen,,,26,1,26,1,25,,No women in title
City Light,Hydroelec Maint Mach,,,38.36,11,38.36,11,104.36,,No women in title
City Light,Hydroelec Maint Mach CC,,,44.51,3,44.51,3,15.33,,No women in title
City Light,Hydroelec Op II,41.14,2,41.14,11,41.14,13,140,100,
City Light,"Info Technol Prof A,Exempt",58.16,4,56.45,18,56.76,22,75.09,103.02,
City Light,Info Technol Prof B-BU,47.55,26,48.07,41,47.87,67,88.37,98.92,
City Light,Info Technol Prof C-BU,,,44.94,1,44.94,1,78,,No women in title
City Light,Info Technol Spec,30.95,3,,,30.95,3,47.33,,No men in title
City Light,Info Technol Systs Anlyst,38.48,5,38.48,4,38.48,9,151.89,100,
City Light,Installation Maint Wkr,25.54,1,25.54,1,25.54,2,80,100,
City Light,IT Prgmmer Anlyst-Spec,,,36.68,1,36.68,1,160,,No women in title
City Light,"Janitor,Lead-FAS/CL",,,20.96,2,20.96,2,74,,No women in title
City Light,Janitor-FAS/CL,19.38,3,19.38,4,19.38,7,90.86,100,
City Light,Jrnywkr Asg Streetlighting,,,42.37,2,42.37,2,134.5,,No women in title
City Light,Jrnywkr In Chg,44.63,1,44.63,10,44.63,11,82.36,100,
City Light,Labor Relations Coord,49.05,1,,,49.05,1,77,,No men in title
City Light,Laborer-Inserting Machine Op,,,21.14,1,21.14,1,143,,No women in title
City Light,Landscape Supv,33.93,1,,,33.93,1,334,,No men in title
City Light,Line C CC,47.67,1,47.67,31,47.67,32,115.91,100,
City Light,Line CC-Asg C Coord,47.67,1,47.67,5,47.67,6,54.67,100,
City Light,Lnwkr,42.37,6,42.37,114,42.37,120,80.79,100,
City Light,Lnwkr Aprn,35.17,1,35.24,17,35.24,18,27.72,99.8,
City Light,Lnwkr-Asg Pwrline Clearance,,,45.47,1,45.47,1,29,,No women in title
City Light,Lnwrkr-Asg Locator,,,42.37,1,42.37,1,38,,No women in title
City Light,Lock Tech,,,27.78,1,27.78,1,140,,No women in title
City Light,"Lock Tech,Sr",29.99,1,,,29.99,1,149,,No men in title
City Light,Mach Spec,27.51,1,26.78,3,26.97,4,117,102.71,
City Light,Maint Laborer,23.38,3,23.38,9,23.38,12,70.25,100,
City Light,"Manager1,General Govt",41.46,1,,,41.46,1,7,,No men in title
City Light,"Manager1,P&FM-BU",,,45.12,1,45.12,1,57,,No women in title
City Light,"Manager1,PC&RM-BU",46.41,2,,,46.41,2,16.5,,No men in title
City Light,"Manager1,Utils-BU",41.37,1,47.39,1,44.38,2,31.5,87.29,
City Light,"Manager2,CSPI&P-BU",,,48.73,1,48.73,1,53,,No women in title
City Light,"Manager2,Engrng&Plans Rev-BU",51.45,1,,,51.45,1,41,,No men in title
City Light,"Manager2,Fin,Bud,&Actg-BU",45.03,2,49.24,4,47.84,6,123,91.46,
City Light,"Manager2,P&FM-BU",,,48.61,1,48.61,1,57,,No women in title
City Light,"Manager2,PC&RM-BU",,,46.94,1,46.94,1,74,,No women in title
City Light,"Manager2,Utils-BU",51.33,2,49.16,5,49.78,7,40.86,104.41,
City Light,"Manager3,Engrng&Plans Rev-BU",60.56,1,59.78,3,59.98,4,54.25,101.3,
City Light,"Manager3,Exempt-BU",55.52,2,,,55.52,2,46,,No men in title
City Light,"Manager3,Info Technol-BU",,,58.8,1,58.8,1,14,,No women in title
City Light,"Manager3,Utils",,,50.71,2,50.71,2,27.5,,No women in title
City Light,"Manager3,Utils-BU",58.24,4,57.91,9,58.01,13,58.15,100.57,
City Light,Marketing Dev Coord,38.48,3,,,38.48,3,30,,No men in title
City Light,"Mat Controller,Prin-BU",35.14,3,,,35.14,3,8,,No men in title
City Light,"Mat Controller,Sr-BU",30.16,2,30.16,1,30.16,3,8,100,
City Light,Mat Controller-BU,24.95,1,,,24.95,1,8,,No men in title
City Light,"Mat Handling Supv,General-BU",37.7,1,,,37.7,1,167,,No men in title
City Light,"Mat Suplr,Elec-Asg Equip Cust",38.2,1,38.2,1,38.2,2,44,100,
City Light,"Mat Suplr,Elec-Asg Phd/Cw/D",33.96,1,33.96,4,33.96,5,57.2,100,
City Light,Mat Suplr-Asg Leo/Pdm/Hb,34.13,1,36.09,11,35.93,12,79.5,94.57,
City Light,"MatSup,Elec-Asg Cs &/or Cdt",,,31.05,17,31.05,17,61.76,,No women in title
City Light,"MatSup,Elec-Asg OPVTCHBNSTR",,,32.02,8,32.02,8,56.38,,No women in title
City Light,Mech Engr Supv,,,54.66,1,54.66,1,157,,No women in title
City Light,"Mech Engr,Assoc",,,40.86,1,40.86,1,382,,No women in title
City Light,"Mech Engr,Sr",,,50.69,4,50.69,4,144.75,,No women in title
City Light,Meter Elctn,41.14,3,41.14,22,41.14,25,46,100,
City Light,Meter Elctn Aprn,,,31.68,2,31.68,2,15,,No women in title
City Light,Meter Elctn Working CC,46.28,1,46.28,7,46.28,8,41.13,100,
City Light,Meter Reader,22.55,7,23.07,30,22.97,37,137.24,97.74,
City Light,Meter Reader Supv,,,30.69,1,30.69,1,106,,No women in title
City Light,"Meter Reader,Sr",27.31,1,26.9,5,26.97,6,112.67,101.53,
City Light,Mgmt Systs Anlyst,35,2,36.3,1,35.43,3,56,96.4,
City Light,Mgmt Systs Anlyst Supv-BU,,,47.26,1,47.26,1,74,,No women in title
City Light,"Mgmt Systs Anlyst,Asst",30.37,5,31.76,1,30.61,6,34.83,95.64,
City Light,"Mgmt Systs Anlyst,Sr",41.35,7,41.71,10,41.57,17,51,99.14,
City Light,Ofc Equip Op,20.61,1,,,20.61,1,216,,No men in title
City Light,Paralegal,,,31.76,1,31.76,1,13,,No women in title
City Light,Passenger & Tugboat Op,,,29.68,1,29.68,1,144,,No women in title
City Light,"Passenger & Tugboat Op,Sr",,,32.67,1,32.67,1,84,,No women in title
City Light,Payroll Supv,,,37.7,1,37.7,1,16,,No women in title
City Light,Personnel Spec,31.61,3,,,31.61,3,61.33,,No men in title
City Light,"Personnel Spec,Asst",25.63,5,23.88,1,25.33,6,39,107.31,
City Light,"Personnel Spec,Sr",33.69,1,36.3,1,35,2,57,92.81,
City Light,Plng&Dev Spec II,37.7,1,37.7,1,37.7,2,49.5,100,
City Light,"Plng&Dev Spec,Sr",39.96,2,41.01,3,40.59,5,22.4,97.45,
City Light,"Plng&Dev Spec,Supvsng-BU",46.41,1,,,46.41,1,47,,No men in title
City Light,Plnt Ecologist,33.09,1,,,33.09,1,35,,No men in title
City Light,Plumber,,,34.16,1,34.16,1,133,,No women in title
City Light,Pole Yard CC,,,38.2,1,38.2,1,96,,No women in title
City Light,Prgm Intake Rep,26.84,4,,,26.84,4,65.25,,No men in title
City Light,Prot&Cntrl Elctn CC,,,54.61,1,54.61,1,136,,No women in title
City Light,Prot&Cntrl Elctn II,48.54,1,48.54,9,48.54,10,85.3,100,
City Light,Publc Relations Spec,26.79,1,,,26.79,1,1,,No men in title
City Light,"Publc Relations Spec,Sr",36.3,2,35.62,2,35.96,4,84,101.91,
City Light,Pwr Anlyst,39.37,3,,,39.37,3,67,,No men in title
City Light,"Pwr Anlyst,Asst",30.14,1,,,30.14,1,29,,No men in title
City Light,"Pwr Anlyst,Sr",43.94,5,45.25,2,44.32,7,43.29,97.11,
City Light,Pwr Dispatcher,49.84,2,49.63,8,49.67,10,71.3,100.42,
City Light,"Pwr Dispatcher,Asst",40.36,1,39.33,3,39.59,4,3.25,102.63,
City Light,"Pwr Dispatcher,Sr",,,56.35,9,56.35,9,90.78,,No women in title
City Light,Pwr Marketer,57.53,3,51.83,15,52.78,18,93.61,111,
City Light,Pwr Structs Mechanic,35.88,2,35.88,11,35.88,13,110.77,100,
City Light,Pwr Structs Mechanic CC,41.14,1,41.14,5,41.14,6,64.83,100,
City Light,Pwr Supply Engr,,,64.61,1,64.61,1,81,,No women in title
City Light,Pwrline Clear Tree Trimmer,,,38.81,1,38.81,1,107,,No women in title
City Light,Pwrline Clear Tree Trimmer-JIC,,,41.14,1,41.14,1,92,,No women in title
City Light,"Real Property Agent,Sr",45.39,2,45.39,2,45.39,4,68,100,
City Light,Res&Eval Asst-BU,28.36,3,,,28.36,3,72,,No men in title
City Light,Rights-Of-Way Maint Lead Wkr,,,28.09,1,28.09,1,1,,No women in title
City Light,Rights-Of-Way Maint Wkr,27.52,1,27.52,7,27.52,8,153.38,100,
City Light,Security Prgms Spec,34.94,1,,,34.94,1,60,,No men in title
City Light,"Sfty&Hlth Spec,Sr",41.5,2,40.22,6,40.54,8,43.38,103.16,
City Light,Sfty&Hlth Supv,45.51,1,42.25,1,43.88,2,17.5,107.72,
City Light,Stage Tech,28.03,1,,,28.03,1,35,,No men in title
City Light,Store Clerk,21.14,1,,,21.14,1,92,,No men in title
City Light,Store Keeper,,,28.35,1,28.35,1,53,,No women in title
City Light,"StratAdvsr1,Fin,Bud,&Actg-BU",,,45.57,1,45.57,1,62,,No women in title
City Light,"StratAdvsr1,Utils-BU",43.01,2,48,1,44.67,3,53,89.62,
City Light,"StratAdvsr2,CSPI&P-BU",,,44.13,2,44.13,2,30.5,,No women in title
City Light,"StratAdvsr2,Exempt",47.2,2,,,47.2,2,18.5,,No men in title
City Light,"StratAdvsr2,Exempt-BU",46.3,1,44.98,1,45.64,2,109,102.94,
City Light,"StratAdvsr2,Fin,Bud,&Actg-BU",43.16,2,49.39,5,47.61,7,65,87.38,
City Light,"StratAdvsr2,General Govt",48.95,1,45.5,1,47.23,2,59,107.6,
City Light,"StratAdvsr2,General Govt-BU",50.21,4,48.74,4,49.48,8,67.88,103.01,
City Light,"StratAdvsr2,PC&RM-BU",,,45.37,1,45.37,1,51,,No women in title
City Light,"StratAdvsr2,Utils-BU",50.02,9,50.57,13,50.35,22,54.73,98.9,
City Light,"StratAdvsr3,Exempt",58.38,1,53.78,1,56.08,2,37,108.54,
City Light,"StratAdvsr3,Exempt-BU",50.01,1,,,50.01,1,3,,No men in title
City Light,"StratAdvsr3,Info Technol-BU",,,53.58,1,53.58,1,43,,No women in title
City Light,"StratAdvsr3,Utils-BU",55.58,1,55.81,3,55.75,4,43.25,99.59,
City Light,Strucl Iron Wkr,41.14,1,40.92,9,40.95,10,147.6,100.53,
City Light,Strucl Iron Wkr CC,46.28,1,,,46.28,1,259,,No men in title
City Light,Strucl Pntr,31.34,1,31.34,10,31.34,11,77.27,100,
City Light,Strucl Pntr CC,36.02,1,36.02,1,36.02,2,48.5,,
City Light,Title Records Tech,22.56,1,,,22.56,1,91,,No men in title
City Light,Trans Line CC,47.67,1,47.67,1,47.67,2,76.5,100,
City Light,Tree Trimming Rep,,,29.96,1,29.96,1,41,,No women in title
City Light,Trng&Ed Coord,33.69,1,,,33.69,1,172,,No men in title
City Light,"Trng&Ed Coord,Sr",36.3,2,31.16,1,34.59,3,45,116.5,
City Light,"Truck Drvr,Heavy",,,29,3,29,3,96,,No women in title
City Light,Util Acts Supv,32.39,3,,,32.39,3,71.33,,No men in title
City Light,Util Constr Lead Wkr,,,29,8,29,8,26.25,,No women in title
City Light,Util Constr Wkr,26.33,2,26.71,25,26.68,27,58.93,98.56,
City Light,Util Hearing Ofcr,42.25,1,,,42.25,1,80,,No men in title
City Light,Util Laborer,,,22.56,1,22.56,1,244,,No women in title
City Light,"Warehouser,Chief",30.88,1,30.88,4,30.88,5,185.2,100,
City Light,"Warehouser,Sr-BU",26.5,4,26.5,9,26.5,13,131.08,100,
City Light,Warehouser-BU,24.08,4,24.08,11,24.08,15,137,100,
Civil Service Commissions,Admin Staff Asst,31.76,1,,,31.76,1,112,,No men in title
Civil Service Commissions,Civil Svc Commissioner,5.53,1,5.53,5,5.53,6,52.33,100,
Civil Service Commissions,"StratAdvsr2,Exempt",51.65,1,,,51.65,1,54,,No men in title
Department of Planning & Dev,Accountant,29.27,2,,,29.27,2,48.5,,No men in title
Department of Planning & Dev,"Accountant,Prin",38.48,1,,,38.48,1,6,,No men in title
Department of Planning & Dev,"Accountant,Sr",35.57,1,,,35.57,1,89,,No men in title
Department of Planning & Dev,Actg Tech II-BU,24.35,3,24.35,2,24.35,5,121.2,100,
Department of Planning & Dev,Admin Spec I-BU,22.56,1,,,22.56,1,0,,No men in title
Department of Planning & Dev,Admin Spec II-BU,24.14,12,24.35,2,24.17,14,70.86,99.12,
Department of Planning & Dev,Admin Spec III,,,26.26,1,26.26,1,29,,No women in title
Department of Planning & Dev,Admin Spec III-BU,26.26,2,,,26.26,2,48,,No men in title
Department of Planning & Dev,Admin Staff Anlyst,35,2,,,35,2,65.5,,No men in title
Department of Planning & Dev,Admin Staff Asst,30.61,4,,,30.61,4,47.5,,No men in title
Department of Planning & Dev,Admin Support Supv-BU,27.78,1,,,27.78,1,71,,No men in title
Department of Planning & Dev,"Bldg Inspector,Journey",,,38.45,2,38.45,2,39.5,,No women in title
Housing,"Fin Anlyst,Sr",39.96,1,39.96,1,39.96,2,90.5,100,
Department of Planning & Dev,"Bldg Inspector,Sr(Expert)",,,40.74,10,40.74,10,79.3,,No women in title
Department of Planning & Dev,"Bldg Inspector,Strucl",,,42.25,2,42.25,2,67,,No women in title
Department of Planning & Dev,Bldg Plans Examiner,36.45,2,35.38,4,35.73,6,14.83,103.01,
Department of Planning & Dev,"Bldg Plans Examiner,Sr",42.25,2,,,42.25,2,47,,No men in title
Department of Planning & Dev,Civil Engr Supv,54.66,1,,,54.66,1,34,,No men in title
Department of Planning & Dev,"Civil Engr,Sr",,,50.69,3,50.69,3,58.67,,No women in title
Department of Planning & Dev,Civil Engrng Spec Supv,45.51,1,,,45.51,1,24,,No men in title
Department of Planning & Dev,"Civil Engrng Spec,Sr",,,43.47,2,43.47,2,134,,No women in title
